西暦（年）,人口（総数）,人口（男）,人口（女）
1920年,3699428,1952989,1746439
1925年,4485144,2387609,2097535
1930年,5408678,2855323,2553355
1935年,6369919,3325696,3044223
1940年,7346983,3790831,3556152
1945年,3488284,1788145,1700139
1950年,6277500,3169389,3108111
1955年,8037084,4115823,3921261
1960年,9683802,4997023,4686779
1965年,10869244,5564583,5304661
1970年,11408071,5801009,5607062
1975年,11673554,5913373,5760181
1980年,11618281,5856280,5762001
1985年,11829363,5955029,5874334
1990年,11855563,5969773,5885790
1995年,11773605,5892704,5880901
2000年,12064101,6028562,6035539
2005年,12576601,6264895,6311706
2010年,13159388,6512110,6647278
2015年,13515271,6666690,6848581
