内径,線径
0.50 ,0.45 
0.50 ,1.00 
0.51 ,0.42 
0.55 ,0.40 
0.60 ,0.45 
0.60 ,0.50 
0.60 ,0.55 
0.61 ,0.36 
0.61 ,0.52 
0.63 ,0.33 
0.65 ,0.40 
0.70 ,0.50 
0.70 ,0.55 
0.70 ,0.75 
0.74 ,1.02 
0.77 ,0.97 
0.80 ,0.40 
0.80 ,0.45 
0.80 ,0.50 
0.80 ,0.55 
0.80 ,0.80 
0.80 ,1.00 
0.85 ,0.55 
0.89 ,0.95 
0.90 ,0.35 
0.90 ,0.40 
0.91 ,0.55 
0.91 ,0.58 
0.91 ,0.81 
0.97 ,0.33 
1.00 ,0.40 
1.00 ,0.50 
1.00 ,0.55 
1.00 ,0.60 
1.00 ,0.75 
1.00 ,0.80 
1.00 ,0.91 
1.00 ,1.50 
1.00 ,2.00 
1.02 ,1.02 
1.04 ,0.81 
1.05 ,0.50 
1.07 ,1.07 
1.07 ,1.27 
1.09 ,0.79 
1.20 ,2.00 
1.22 ,1.07 
1.24 ,2.62 
1.27 ,0.46 
1.27 ,0.56 
1.27 ,1.02 
1.30 ,1.80 
1.30 ,2.00 
1.35 ,0.55 
1.40 ,0.40 
1.40 ,0.60 
1.40 ,0.64 
1.40 ,0.81 
1.40 ,1.27 
1.40 ,1.65 
1.42 ,1.52 
1.44 ,1.01 
1.50 ,0.50 
1.50 ,0.65 
1.50 ,0.70 
1.50 ,0.73 
1.50 ,0.75 
1.50 ,0.80 
1.50 ,1.02 
1.50 ,1.50 
1.52 ,1.65 
1.55 ,0.40 
1.60 ,0.40 
1.60 ,0.56 
1.60 ,0.90 
1.60 ,1.00 
1.60 ,1.10 
1.65 ,1.15 
1.70 ,0.30 
1.70 ,0.45 
1.70 ,0.60 
1.70 ,0.70 
1.70 ,0.75 
1.75 ,0.50 
1.75 ,0.60 
1.75 ,0.70 
1.75 ,0.75 
1.75 ,0.80 
1.78 ,0.76 
1.78 ,1.02 
1.93 ,1.02 
2.00 ,0.40 
2.00 ,0.50 
2.00 ,0.55 
2.00 ,0.60 
2.00 ,0.75 
2.00 ,0.80 
2.00 ,1.00 
2.00 ,1.25 
2.00 ,1.50 
2.00 ,1.60 
2.00 ,1.80 
2.00 ,2.00 
2.01 ,1.60 
2.06 ,2.62 
2.15 ,0.70 
2.15 ,0.75 
2.15 ,0.80 
2.16 ,0.33 
2.16 ,1.40 
2.18 ,0.76 
2.20 ,0.40 
2.20 ,0.65 
2.20 ,0.70 
2.20 ,0.80 
2.20 ,1.00 
2.20 ,1.50 
2.20 ,1.60 
2.20 ,1.90 
2.21 ,0.61 
2.24 ,1.78 
2.25 ,0.65 
2.26 ,0.91 
2.29 ,0.63 
2.30 ,0.45 
2.30 ,0.55 
2.30 ,0.60 
2.30 ,0.80 
2.30 ,0.85 
2.30 ,0.95 
2.31 ,0.40 
2.31 ,0.41 
2.31 ,1.50 
2.35 ,1.00 
2.39 ,1.27 
2.54 ,0.97 
2.54 ,1.00 
2.54 ,1.02 
2.55 ,0.45 
2.57 ,1.78 
2.60 ,1.00 
2.60 ,1.20 
2.60 ,1.30 
2.60 ,1.90 
2.65 ,1.60 
2.66 ,1.97 
2.69 ,0.64 
2.69 ,1.37 
2.70 ,1.00 
2.70 ,1.50 
2.73 ,0.90 
2.75 ,1.70 
2.79 ,0.71 
2.79 ,1.02 
2.79 ,1.30 
2.80 ,1.10 
2.80 ,1.50 
2.80 ,1.60 
2.80 ,1.80 
2.80 ,1.90 
2.82 ,1.52 
2.84 ,2.62 
2.85 ,0.60 
2.90 ,0.40 
2.90 ,0.80 
2.90 ,0.90 
2.90 ,0.94 
2.90 ,1.20 
2.90 ,1.40 
2.90 ,1.78 
2.90 ,1.79 
2.97 ,0.63 
3.00 ,0.40 
3.00 ,0.50 
3.00 ,0.70 
3.00 ,0.76 
3.00 ,0.86 
3.00 ,1.00 
3.00 ,1.50 
3.00 ,2.00 
3.20 ,1.19 
3.20 ,1.80 
3.25 ,0.63 
3.25 ,0.64 
3.30 ,0.89 
3.30 ,1.00 
3.30 ,2.40 
3.35 ,1.60 
3.35 ,1.78 
3.38 ,0.69 
3.40 ,1.30 
3.40 ,1.35 
3.40 ,1.90 
3.48 ,0.64 
3.50 ,0.41 
3.50 ,0.70 
3.50 ,1.00 
3.50 ,1.20 
3.50 ,1.50 
3.50 ,1.80 
3.53 ,1.02 
3.55 ,1.60 
3.56 ,0.64 
3.56 ,1.27 
3.56 ,1.32 
3.60 ,0.84 
3.60 ,2.40 
3.63 ,0.58 
3.63 ,2.62 
3.66 ,0.64 
3.66 ,1.19 
3.68 ,1.78 
3.70 ,0.36 
3.70 ,0.50 
3.70 ,0.69 
3.70 ,0.99 
3.70 ,1.00 
3.70 ,1.50 
3.70 ,1.90 
3.70 ,2.00 
3.71 ,0.79 
3.71 ,1.00 
3.75 ,1.70 
3.75 ,1.80 
3.76 ,0.71 
4.00 ,1.07 
4.00 ,1.20 
4.00 ,1.50 
4.00 ,1.75 
4.00 ,1.80 
4.00 ,2.00 
4.00 ,2.20 
4.00 ,2.50 
4.01 ,0.30 
4.06 ,1.65 
4.09 ,1.09 
4.10 ,0.50 
4.10 ,1.60 
4.19 ,0.81 
4.20 ,0.53 
4.20 ,0.80 
4.20 ,1.00 
4.20 ,1.90 
4.22 ,1.07 
4.30 ,2.40 
4.32 ,0.51 
4.34 ,0.76 
4.34 ,3.53 
4.35 ,1.00 
4.40 ,0.55 
4.40 ,0.60 
4.40 ,0.80 
4.42 ,2.62 
4.47 ,0.76 
4.47 ,1.27 
4.47 ,1.78 
4.47 ,1.96 
4.50 ,1.00 
4.50 ,1.50 
4.50 ,2.00 
4.50 ,2.50 
4.57 ,0.89 
4.57 ,1.02 
4.60 ,0.70 
4.60 ,0.80 
4.60 ,0.81 
4.60 ,2.00 
4.60 ,2.40 
4.70 ,0.60 
4.70 ,1.42 
5.00 ,0.40 
5.00 ,0.60 
5.00 ,0.86 
5.00 ,1.00 
5.00 ,1.20 
5.00 ,1.50 
5.00 ,1.75 
5.00 ,1.80 
5.00 ,2.00 
5.00 ,2.50 
5.00 ,3.00 
5.00 ,4.00 
5.10 ,0.82 
5.10 ,1.00 
5.10 ,1.60 
5.15 ,1.80 
5.20 ,0.70 
5.20 ,0.80 
5.21 ,0.41 
5.21 ,0.61 
5.23 ,2.62 
5.28 ,0.79 
5.28 ,0.80 
5.28 ,1.40 
5.28 ,1.78 
5.30 ,2.40 
5.30 ,2.50 
5.31 ,1.27 
5.33 ,2.16 
5.34 ,1.82 
5.35 ,0.55 
5.36 ,0.81 
5.41 ,1.02 
5.48 ,0.57 
5.50 ,1.00 
5.50 ,1.20 
5.50 ,1.50 
5.50 ,1.80 
5.50 ,2.00 
5.52 ,2.35 
5.53 ,0.64 
5.59 ,3.05 
5.60 ,1.00 
5.60 ,1.80 
5.60 ,1.90 
5.94 ,3.53 
5.96 ,0.76 
5.97 ,1.14 
6.00 ,0.50 
6.00 ,1.00 
6.00 ,1.50 
6.00 ,1.60 
6.00 ,1.93 
6.00 ,2.00 
6.00 ,2.20 
6.00 ,2.50 
6.00 ,3.00 
6.00 ,5.00 
6.02 ,2.62 
6.07 ,0.63 
6.07 ,0.64 
6.07 ,0.79 
6.07 ,1.02 
6.07 ,1.27 
6.07 ,1.30 
6.07 ,1.63 
6.07 ,1.78 
6.07 ,1.88 
6.10 ,0.84 
6.10 ,1.60 
6.10 ,2.60 
6.15 ,0.80 
6.17 ,1.72 
6.20 ,0.40 
6.20 ,1.10 
6.20 ,1.20 
6.30 ,1.22 
6.30 ,2.00 
6.30 ,2.40 
6.35 ,0.89 
6.35 ,1.27 
6.35 ,1.78 
6.35 ,2.50 
6.40 ,0.30 
6.40 ,1.40 
6.40 ,1.90 
6.50 ,0.70 
6.50 ,1.00 
6.50 ,1.20 
6.50 ,1.25 
6.80 ,0.85 
6.80 ,1.42 
6.80 ,1.90 
6.80 ,2.00 
6.80 ,2.40 
6.90 ,1.80 
7.00 ,0.50 
7.00 ,1.00 
7.00 ,1.50 
7.00 ,1.70 
7.00 ,2.00 
7.00 ,2.50 
7.00 ,3.00 
7.01 ,0.51 
7.01 ,1.19 
7.10 ,1.60 
7.10 ,2.00 
7.11 ,1.14 
7.19 ,0.66 
7.20 ,0.65 
7.20 ,0.70 
7.20 ,1.90 
7.20 ,2.20 
7.30 ,2.20 
7.30 ,2.40 
7.40 ,3.40 
7.45 ,1.20 
7.50 ,0.60 
7.50 ,0.80 
7.50 ,1.17 
7.50 ,1.50 
7.50 ,1.80 
7.50 ,2.00 
7.50 ,2.50 
7.50 ,3.00 
7.50 ,3.40 
7.52 ,3.53 
7.59 ,2.62 
7.60 ,1.20 
7.60 ,2.40 
7.61 ,2.40 
7.65 ,0.89 
7.65 ,1.02 
7.65 ,1.37 
7.65 ,1.63 
8.00 ,1.25 
8.00 ,1.30 
8.00 ,1.50 
8.00 ,1.60 
8.00 ,1.80 
8.00 ,1.90 
8.00 ,2.00 
8.00 ,2.20 
8.00 ,2.40 
8.00 ,2.50 
8.00 ,3.00 
8.00 ,4.00 
8.00 ,4.75 
8.04 ,1.00 
8.10 ,0.45 
8.10 ,1.60 
8.10 ,3.00 
8.15 ,1.02 
8.20 ,0.90 
8.20 ,1.50 
8.25 ,0.86 
8.28 ,1.17 
8.30 ,2.40 
8.31 ,1.00 
8.37 ,1.27 
8.38 ,1.27 
8.40 ,1.20 
8.40 ,1.90 
8.43 ,0.79 
8.45 ,0.55 
8.50 ,1.00 
8.50 ,1.50 
8.50 ,2.00 
8.50 ,2.30 
8.51 ,1.78 
8.55 ,1.75 
8.56 ,0.51 
