年月,東京市場(円)
1980/1,238.8
1980/2,249.8
1980/3,249.7
1980/4,238.3
1980/5,224.4
1980/6,218.15
1980/7,226.85
1980/8,219.2
1980/9,212
1980/10,211.75
1980/11,216.75
1980/12,203.6
1981/1,205.2
1981/2,208.85
1981/3,211.4
1981/4,215
1981/5,223.5
1981/6,225.75
1981/7,239.75
1981/8,228.75
1981/9,231.55
1981/10,233.35
1981/11,214.15
1981/12,220.25
1982/1,228.45
1982/2,235.2
1982/3,248.3
1982/4,236.3
1982/5,243.7
1982/6,255.55
1982/7,256.65
1982/8,259.6
1982/9,269.4
1982/10,277.4
1982/11,253.45
1982/12,235.3
1983/1,238.4
1983/2,235.55
1983/3,239.3
1983/4,237.7
1983/5,238.6
1983/6,239.8
1983/7,241.5
1983/8,246.75
1983/9,236.1
1983/10,233.65
1983/11,234.2
1983/12,232
1984/1,234.74
1984/2,233.28
1984/3,224.75
1984/4,226.3
1984/5,231.63
1984/6,237.45
1984/7,245.45
1984/8,241.7
1984/9,245.4
1984/10,245.3
1984/11,246.5
1984/12,251.58
1985/1,254.78
1985/2,259
1985/3,250.7
1985/4,251.4
1985/5,251.78
1985/6,248.95
1985/7,236.65
1985/8,237.1
1985/9,216
1985/10,211.8
1985/11,202.05
1985/12,200.6
1986/1,192.65
1986/2,180.45
1986/3,179.65
1986/4,168.1
1986/5,172.05
1986/6,163.95
1986/7,154.15
1986/8,156.05
1986/9,153.63
1986/10,161.45
1986/11,162.2
1986/12,160.1
1987/1,152.3
1987/2,153.15
1987/3,145.65
1987/4,139.65
1987/5,144.15
1987/6,146.75
1987/7,149.25
1987/8,142.35
1987/9,146.35
1987/10,138.55
1987/11,132.45
1987/12,122
1988/1,127.18
1988/2,128.12
1988/3,124.5
1988/4,124.82
1988/5,124.8
1988/6,132.2
1988/7,132.53
1988/8,134.97
1988/9,134.3
1988/10,125
1988/11,121.85
1988/12,125.9
1989/1,129.13
1989/2,127.15
1989/3,132.55
1989/4,132.49
1989/5,142.7
1989/6,143.95
1989/7,138.4
1989/8,144.28
1989/9,139.35
1989/10,142.15
1989/11,142.9
1989/12,143.4
1990/1,144.4
1990/2,148.52
1990/3,157.65
1990/4,159.08
1990/5,151.75
1990/6,152.85
1990/7,147.5
1990/8,144.5
1990/9,137.95
1990/10,129.35
1990/11,132.75
1990/12,135.4
1991/1,131.4
1991/2,131.95
1991/3,140.55
1991/4,137.42
1991/5,137.97
1991/6,138.15
1991/7,137.83
1991/8,136.88
1991/9,132.95
1991/10,131
1991/11,130.07
1991/12,125.25
1992/1,125.78
1992/2,129.33
1992/3,133.05
1992/4,133.38
1992/5,128.33
1992/6,125.55
1992/7,127.3
1992/8,123.42
1992/9,119.25
1992/10,123.35
1992/11,124.75
1992/12,124.65
1993/1,124.3
1993/2,117.85
1993/3,115.35
1993/4,111.1
1993/5,107.45
1993/6,106.51
1993/7,105.6
1993/8,104.18
1993/9,105.1
1993/10,108.23
1993/11,108.82
1993/12,111.89
1994/1,109.55
1994/2,104.3
1994/3,102.8
1994/4,102.38
1994/5,104.38
1994/6,98.95
1994/7,99.93
1994/8,99.57
1994/9,98.59
1994/10,97.37
1994/11,98.98
1994/12,99.83
1995/1,98.58
1995/2,96.93
1995/3,88.38
1995/4,83.77
1995/5,83.19
1995/6,84.77
1995/7,88.17
1995/8,97.46
1995/9,98.18
1995/10,101.9
1995/11,101.66
1995/12,102.91
1996/1,106.92
1996/2,104.58
1996/3,106.49
1996/4,104.29
1996/5,108.37
1996/6,109.88
1996/7,107.13
1996/8,108.4
1996/9,111.45
1996/10,113.27
1996/11,113.44
1996/12,115.98
1997/1,122.13
1997/2,120.88
1997/3,123.97
1997/4,126.92
1997/5,116.43
1997/6,114.3
1997/7,117.74
1997/8,119.39
1997/9,121.44
1997/10,120.29
1997/11,127.66
1997/12,129.92
1998/1,127.34
1998/2,126.72
1998/3,133.39
1998/4,131.95
1998/5,138.72
1998/6,139.95
1998/7,143.79
1998/8,141.52
1998/9,135.72
1998/10,116.09
1998/11,123.83
1998/12,115.2
1999/1,115.98
1999/2,120.32
1999/3,119.99
1999/4,119.59
1999/5,121.37
1999/6,120.87
1999/7,115.27
1999/8,110.19
1999/9,105.66
1999/10,104.89
1999/11,102.42
1999/12,102.08
2000/1,106.9
2000/2,110.27
2000/3,105.29
2000/4,106.44
2000/5,107.3
2000/6,105.4
2000/7,109.52
2000/8,106.43
2000/9,107.75
2000/10,108.81
2000/11,111.07
2000/12,114.9
2001/1,116.38
2001/2,116.44
2001/3,125.27
2001/4,124.06
2001/5,119.06
2001/6,124.27
2001/7,124.79
2001/8,118.92
2001/9,119.29
2001/10,121.84
2001/11,123.98
2001/12,131.47
2002/1,132.94
2002/2,133.89
2002/3,132.71
2002/4,127.97
2002/5,123.96
2002/6,119.22
2002/7,119.82
2002/8,117.97
2002/9,121.79
2002/10,122.48
2002/11,122.44
2002/12,119.37
2003/1,119.21
2003/2,117.75
2003/3,119.02
2003/4,119.46
2003/5,118.63
2003/6,119.82
2003/7,120.11
2003/8,117.13
2003/9,110.48
2003/10,108.99
2003/11,109.34
2003/12,106.97
2004/1,105.88
2004/2,109.08
