年度,試合,打数,得点,安打,塁打,犠打,三振,出塁率,
2012年,"	63","	234","	21","	46","	59","	25","	42","	.254","		"
2013年,"	141","	633","	69","	133","	201","	50","	121","	.297","	"
2014年,"	144","	654","	88","	188","	264","	43","	79","	.352","		"
2015年,"	143","	644","	62","	143","	193","	49","	92","	.292","	"
2016年,"	141","	640","	92","	181","	248","	23","	106","	.358","	"
2017年,"	138","	629","	87","	153","	229","	30","	107","	.311","	"
2018年,"	139","	642","	85","	130","	198","	30","	111","	.301",
2019年,"	138","	619","	77","	143","	222","	28","	102","	.313","		"
2020年,"	106","	429","	43","	102","	159","	16","  	68","	.334","		"
2021年,"	132","	542","	64","	137","	212","	2","	86","	.333","		"
"	",,,,,,,,,
