西暦,合計,男,女
1950,83200,40812,42388
1951,84541,41489,43052
1952,85808,42128,43680
1953,86981,42721,44260
1954,88239,43344,44895
1955,89276,43861,45415
1956,90172,44301,45871
1957,90928,44671,46258
1958,91767,45078,46689
1959,92641,45504,47137
1960,93419,45878,47541
1961,94287,46300,47987
1962,95181,46733,48447
1963,96156,47208,48947
1964,97182,47710,49471
1965,98275,48244,50031
1966,99036,48611,50425
1967,100196,49180,51016
1968,101331,49739,51592
1969,102536,50334,52202
1970,103720,50918,52802
1971,105145,51607,53538
1972,107595,52822,54773
1973,109104,53606,55498
1974,110573,54376,56197
1975,111940,55091,56849
1976,113094,55658,57436
1977,114165,56184,57981
1978,115190,56682,58508
1979,116155,57151,59004
1980,117060,57594,59467
1981,117902,58001,59901
1982,118728,58400,60329
1983,119536,58786,60750
1984,120305,59150,61155
1985,121049,59497,61552
1986,121660,59788,61871
1987,122239,60058,62181
1988,122745,60302,62443
1989,123205,60515,62690
1990,123611,60697,62914
1991,124101,60934,63167
1992,124567,61155,63413
1993,124938,61317,63621
1994,125265,61446,63819
1995,125570,61574,63996
1996,125859,61698,64161
1997,126157,61827,64329
1998,126472,61952,64520
1999,126667,62017,64650
2000,126926,62111,64815
2001,127316,62265,65051
2002,127486,62295,65190
2003,127694,62368,65326
2004,127787,62380,65407
2005,127768,62349,65419
2006,127901,62387,65514
2007,128033,62424,65608
2008,128084,62422,65662
2009,128032,62358,65674
2010,128057,62328,65730
2011,127834,62207,65627
2012,127593,62080,65513
2013,127414,61985,65429
2014,127237,61901,65336
2015,127095,61842,65253
2016,127042,61816,65226
2017,126919,61753,65165
2018,126749,61673,65076
2019,126555,61588,64967
2020,126146,61350,64797
2021,125502,61019,64483
