時点,二人以上の世帯　消費支出【円】
2000年1月,309621
2000年2月,290663
2000年3月,335341
2000年4月,335276
2000年5月,308566
2000年6月,297648
2000年7月,326480
2000年8月,309993
2000年9月,296457
2000年10月,309193
2000年11月,297144
2000年12月,391556
2001年1月,308912
2001年2月,293698
2001年3月,339910
2001年4月,318509
2001年5月,300346
2001年6月,286054
2001年7月,314251
2001年8月,302474
2001年9月,283973
2001年10月,305653
2001年11月,294929
2001年12月,359940
2002年1月,305221
2002年2月,273487
2002年3月,330380
2002年4月,320228
2002年5月,291968
2002年6月,289427
2002年7月,315699
2002年8月,298788
2002年9月,295423
2002年10月,304989
2002年11月,289126
2002年12月,356702
2003年1月,298734
2003年2月,270619
2003年3月,321847
2003年4月,315074
2003年5月,287172
2003年6月,291742
2003年7月,302444
2003年8月,302283
2003年9月,287699
2003年10月,299754
2003年11月,289498
2003年12月,355228
2004年1月,301275
2004年2月,284916
2004年3月,322091
2004年4月,325593
2004年5月,299964
2004年6月,283000
2004年7月,302616
2004年8月,301059
2004年9月,284946
2004年10月,296794
2004年11月,287806
2004年12月,345643
2005年1月,302145
2005年2月,272407
2005年3月,319333
2005年4月,317844
2005年5月,295783
2005年6月,284002
2005年7月,294764
2005年8月,302201
2005年9月,288147
2005年10月,300146
2005年11月,283603
2005年12月,346003
2006年1月,294617
2006年2月,269418
2006年3月,313350
2006年4月,312872
2006年5月,292114
2006年6月,280824
2006年7月,292328
2006年8月,292087
2006年9月,273194
2006年10月,294693
2006年11月,282860
2006年12月,340959
2007年1月,296472
2007年2月,272763
2007年3月,313563
2007年4月,316163
2007年5月,293231
2007年6月,280587
2007年7月,291632
2007年8月,296035
2007年9月,281448
2007年10月,296984
2007年11月,282836
2007年12月,351667
2008年1月,309826
2008年2月,275827
2008年3月,312565
2008年4月,310695
2008年5月,288128
2008年6月,281951
2008年7月,298366
2008年8月,291154
2008年9月,281433
2008年10月,291504
2008年11月,284762
2008年12月,336976
2009年1月,291440
2009年2月,266044
2009年3月,310680
2009年4月,306340
2009年5月,285530
2009年6月,277237
2009年7月,285078
2009年8月,290972
2009年9月,277110
2009年10月,287789
2009年11月,284740
2009年12月,337887
2010年1月,291918
2010年2月,261163
2010年3月,319991
2010年4月,299996
2010年5月,280714
2010年6月,276494
2010年7月,285274
2010年8月,293361
2010年9月,275367
2010年10月,287433
2010年11月,284212
2010年12月,327006
2011年1月,289191
2011年2月,260793
2011年3月,291900
2011年4月,292559
2011年5月,276159
2011年6月,265807
2011年7月,280046
2011年8月,282008
2011年9月,270010
2011年10月,285605
2011年11月,273428
2011年12月,328080
2012年1月,283124
2012年2月,267855
2012年3月,303841
2012年4月,301948
2012年5月,287911
2012年6月,269810
2012年7月,283295
2012年8月,286036
2012年9月,266705
2012年10月,284238
2012年11月,273772
2012年12月,325492
2013年1月,288934
2013年2月,268099
2013年3月,316166
2013年4月,304382
2013年5月,282366
2013年6月,269418
2013年7月,286098
2013年8月,284646
2013年9月,280692
2013年10月,290676
2013年11月,279546
2013年12月,334433
2014年1月,297070
2014年2月,266610
2014年3月,345443
2014年4月,302141
2014年5月,271411
2014年6月,272791
2014年7月,280293
2014年8月,282124
2014年9月,275226
2014年10月,288579
2014年11月,280271
2014年12月,332363
2015年1月,289847
2015年2月,265632
2015年3月,317579
2015年4月,300480
2015年5月,286433
2015年6月,268652
2015年7月,280471
2015年8月,291156
2015年9月,274309
2015年10月,282401
2015年11月,273268
2015年12月,318254
2016年1月,280973
2016年2月,269774
2016年3月,300889
2016年4月,298520
2016年5月,281827
2016年6月,261452
2016年7月,278067
2016年8月,276338
2016年9月,267119
2016年10月,281961
2016年11月,270848
2016年12月,318488
2017年1月,279249
2017年2月,260644
2017年3月,297942
2017年4月,295929
2017年5月,283056
2017年6月,268802
2017年7月,279197
2017年8月,280320
2017年9月,268802
2017年10月,282872
2017年11月,277361
2017年12月,322157
2018年1月,289703
2018年2月,265614
2018年3月,301230
2018年4月,294439
2018年5月,281307
2018年6月,267641
2018年7月,283387
2018年8月,292481
2018年9月,271273
2018年10月,290396
2018年11月,281041
2018年12月,329271
2019年1月,296345
2019年2月,271232
2019年3月,309274
2019年4月,301136
2019年5月,300901
2019年6月,276882
2019年7月,288026
2019年8月,296327
2019年9月,300609
2019年10月,279671
2019年11月,278765
2019年12月,321380
2020年1月,287173
2020年2月,271735
2020年3月,292214
2020年4月,267922
2020年5月,252017
2020年6月,273699
2020年7月,266897
2020年8月,276360
2020年9月,269863
2020年10月,283508
2020年11月,278718
2020年12月,315007
2021年1月,267760
2021年2月,252451
