年度,猛暑日,真夏日
1974年,0,39
1975年,2,62
1976年,1,31
1977年,0,41
1978年,7,63
1979年,0,53
1980年,0,21
1981年,0,41
1982年,0,24
1983年,2,35
1984年,3,51
1985年,1,54
1986年,0,33
1987年,3,50
1988年,0,21
1989年,0,47
1990年,2,60
1991年,4,45
1992年,2,46
1993年,0,19
1994年,8,66
1995年,13,50
1996年,2,46
1997年,3,58
1998年,3,48
1999年,0,63
2000年,1,67
2001年,8,52
2002年,6,59
2003年,0,38
2004年,6,70
2005年,4,57
2006年,3,38
2007年,7,55
2008年,1,53
2009年,0,38
2010年,13,71
2011年,4,61
2012年,6,66
2013年,12,58
2014年,5,45
2015年,11,47
2016年,3,57
2017年,2,51
2018年,12,68
2019年,12,55
2020年,12,54
2021年,2,52
2022年,16,66
2023年,22,90
